"时间","N6-14磷肥","N6-12处理废水","N6-2固废","N6-3废水","N6.1-6.3.3磷石膏","N6.1-7磷肥","N6.2-10.2饲料添加剂","N6.3-6.3.1黄磷","N6.3-6.3.2黄磷","N6.3-6.3.3黄磷","N6.3-6.3.3磷铁副产品","N6.3-6.3.3炉渣","N6.3-14黄磷"
"1634","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1635","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1636","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1637","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1638","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1639","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1640","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1641","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1642","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1643","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1644","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1645","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1646","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1647","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1648","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1649","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1650","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1651","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1652","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1653","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1654","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1655","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1656","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1657","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1658","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1659","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1660","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1661","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1662","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1663","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1664","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1665","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1666","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1667","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1668","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1669","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1670","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1671","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1672","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1673","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1674","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1675","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1676","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1677","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1678","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1680","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1681","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1682","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1683","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1684","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1685","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1686","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1687","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1688","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1689","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1690","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1691","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1692","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1693","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1694","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1695","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1696","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1697","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1698","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1699","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1700","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1701","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1702","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1703","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1704","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1705","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1706","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1707","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1708","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1709","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1710","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1711","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1712","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1713","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1714","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1715","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1716","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1717","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1718","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1719","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1720","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1721","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1722","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1723","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1724","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1725","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1726","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1727","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1728","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1729","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1730","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1731","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1732","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1733","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1734","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1735","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1736","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1737","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1738","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1739","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1740","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1741","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1742","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1743","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1744","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1745","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1746","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1747","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1748","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1749","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1750","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1751","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1752","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1753","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1754","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1755","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1756","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1757","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1758","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1759","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1760","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1761","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1762","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1763","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1764","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1765","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1766","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1767","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1768","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1769","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1770","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1771","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1772","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1773","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1774","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1775","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1776","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1777","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1778","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1779","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1780","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1781","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1782","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1783","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1784","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1785","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1786","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1787","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1788","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1789","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1790","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1791","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1792","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1793","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1794","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1795","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1796","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1797","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1798","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1799","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1800","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1801","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1802","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1803","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1804","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1805","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1806","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1807","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1808","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1809","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1810","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1811","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1812","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1813","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1814","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1815","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1816","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1817","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1818","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1819","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1820","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1821","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1822","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1823","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1824","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1825","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1826","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1827","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1828","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1829","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1830","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1831","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1832","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1833","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1834","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1835","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1836","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1837","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1838","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1839","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1840","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1841","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1842","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1843","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1844","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1845","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1846","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1847","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1848","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1849","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1850","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1851","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1852","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1853","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1854","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1855","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1856","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1857","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1858","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1859","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1860","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1861","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1862","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1863","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1864","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1865","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1866","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1867","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1868","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1869","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1870","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1871","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1872","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1873","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1874","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1875","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1876","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1877","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1878","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1879","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1880","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1881","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1882","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1883","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1884","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1885","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1886","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1887","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1888","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1889","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1890","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1891","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1892","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1893","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1894","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1895","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1896","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1897","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1898","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1899","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1900","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1901","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1902","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1903","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1904","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1905","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1906","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1907","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1908","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1909","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1910","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1911","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1912","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1913","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1914","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1915","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1916","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1917","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1918","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1919","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1920","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1921","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1922","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1923","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1924","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1925","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1926","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1927","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1928","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1929","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1930","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1931","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1932","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1933","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1934","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1935","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1936","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1937","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1938","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1939","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1940","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1941","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1942","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1943","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1944","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1945","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1946","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1947","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1948","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1949","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","-0.0010734470450478872","0","0","0","0","0.0010734470450478872","0","0","0","0","0","0","0"
"1951","-0.0018084947770253522","0","0","0","0","0.0018084947770253522","0","0","0","0","0","0","0"
"1952","-0.0019573536454140844","0","0","0","0","0.0019573536454140844","0","0","0","0","0","0","0"
"1953","-0.003328518236611268","0","0","0","0","0.003328518236611268","0","0","0","0","0","0","0"
"1954","-0.00599595552087324","0","0","0","0","0.00599595552087324","0","0","0","0","0","0","0"
"1955","-0.007553887107521128","0","0","0","0","0.007990506825830987","0","0","0","0","0","0","0"
"1956","-0.012356198994566197","0","0","0","0","0.018468875050904224","0","0","0","0","0","0","0"
"1957","-0.011247617652943662","0","0","0","0","0.020416631737450706","0","0","0","0","0","0","0"
"1958","-0.01818572868939155","0","0","0","0","0.036523756858405636","0","0","0","0","0","0","0"
"1959","-0.014025081131912673","0","0","0","0","0.0533208557798","0","0","0","0","0","0","0"
"1960","-0.011563826894","0","0","0","0","0.09583143252780282","0","0","0","0","0","0","0"
"1961","-0.01047281251003662","0","0","0","0","0.06374041814383943","0.00019","0","0","0","0","0","0"
"1962","-0.011471368038208451","0","0","0","0","0.0664854525452507","0.00019","0","0","0","0","0","0"
"1963","-0.02341704984268732","0","0","0","0","0.1059381766032507","0.00019","0","0","0.01","0.0003128","0","0"
"1964","-0.0167147086788169","0","0","0","0","0.16167245515769013","0.00019","0","0","0.01","0.0003128","0","0"
"1965","-0.025286567556036622","0","0","0","0","0.3256809337532197","0.00019","0","0","0.01","0.0003128","0","0"
"1966","-0.02910974034706479","0","0","0","0","0.4421519938681915","0.00095","0","0","0.01","0.0003128","0","0"
"1967","-0.04511991266675212","0","0","0","0","0.31669737745548454","0.00095","0","0","0.02","0.0006256","0","0"
"1968","-0.048145165886867604","0","0","0","0","0.23239868701362815","0.00095","0","0","0.02","0.0006256","0","0"
"1969","-0.051336844933030985","0","0","0","0","0.3670129012710592","0.00095","0","0","0.02","0.0006256","0","0"
"1970","-0.0593456293746676","0","0","0","0","0.45535971388170987","0.00095","0","0","0.02","0.0006256","0","0"
"1971","-0.05920971492146761","0","0","0","0","0.5298857712594958","0.0019","0","0","0.02","0.0006256","0","0"
"1972","-0.06251974127254366","0","0","0","0","0.6078577694415578","0.0019","0","0","0.03","0.0009384","0.000012339921126760562","0"
"1973","-0.05809373682563097","0","0","0","0","0.7518824692199972","0.0019","0","0","0.03","0.0009384","0.00002545108732394366","0"
"1974","-0.04717249899844507","0","0","0","0","0.6540739074491493","0.00285","0","0","0.03","0.0009384","0.00003856225352112676","0"
"1975","-0.04563028546684507","0","0","0","0","0.7140950741992395","0.00285","0","0","0.03","0.0009384","0.000051673419718309856","0"
"1976","-0.042421039272394365","0","0","0","0","0.6615477998357746","0.00285","0","0","0.03","0.0009384","0.00006478458591549296","0"
"1977","-0.059132049574104235","0","0","0","0","0.8048785284473436","0.0038","0","0","0.04","0.0012512","0.00010488932957746478","0"
"1978","-0.0678028393240817","0","0","0","0","0.5188310083381661","0.0038","0","0","0.04","0.0012512","0.00012237088450704224","0"
"1979","-0.07761642035626479","0","0","0","0","0.8709544485252789","0.0038","0","0","0.04","0.0012512","0.00013985243943661973","0"
"1980","-0.09262064058419436","0","0","0","0","1.1003389504433492","0.004750000000000001","0","0","0.04","0.0012512","0.0001573339943661972","0"
"1981","-0.08604681711930985","0","0","0","0","1.1810890706404367","0.004750000000000001","0","0","0.05","0.0015640000000000003","0.00021851943661971833","0"
"1982","-0.10270512597615775","0","0","0","0","1.2104093513282703","0.004750000000000001","0","0","0.07","0.0021896000000000007","0.0003365199323943662","0"
"1983","-0.14479339918850423","0","0","0","0","1.3088215682025888","0.0057","0","0","0.08","0.0025024","0.0004216139718309859","0"
"1984","-0.16710552775041407","0","0","0","0","1.1975280629616816","0.0057","0","0","0.09","0.0028152000000000003","0.0005136492169014084","0"
"1985","-0.17173171045635208","0","0","0","0","0.9401824146817042","0.0057","0","0","0.1","0.0031280000000000006","0.0006478458591549296","0"
"1986","-0.09131730454558308","0","0","0","0","1.1130074453906533","0.0076","0","0","0.11","0.0034408000000000004","0.0006900072563380281","0"
"1987","-0.13961057482512956","0","0","0","0","1.5713108196769605","0.01521300512","0","0","0.10363041199999999","0.0037536","0.000789754952112676","0.016369588"
"1988","-0.13937768894730423","0","0","0","0","1.773509009157304","0.009260170790000001","0","0","0.11620850900000002","0.0043792000000000015","0.0009429756394366198","0.023791491"
"1989","-0.17251057187190139","0","0","0","0","1.8110855234010563","0.01628193733","0","0","0.13236142099999998","0.004692000000000001","0.0010874555492957744","0.017638579"
"1990","-0.1805224057707324","0","0","0","0","1.9999961399374928","0.02460541496","0","0","0.134024372","0.0050048","0.0012051989633802816","0.025975628"
"1991","-0.29915452982947316","0","0","0","0","2.3264295090098956","0.043130651889999996","0","0","0.15093521399999998","0.005630400000000001","0.0017538112901408448","0.029064786"
"1992","-0.32134394314416337","0","0","0","0","2.383363939192332","0.03810564798","0","0","0.154480694","0.005943200000000001","0.002017320022535211","0.035519306"
"1993","-0.1629439098570676","0","0","0","0","2.044245320595378","0.05609598798","0","0","0.190939221","0.0075072","0.002480324146478873","0.049060779"
"1994","-0.2958474632629944","0","0","0","0","2.5650219424679235","0.06336074495","0","0","0.23102463499999998","0.0090712","0.0032281747830985915","0.058975365"
"1995","-0.4141259379533887","0","0","0","0.0006183132358235535","3.3983061064045152","0.07292837507","0","0","0.22953371","0.0096968","0.0035225333183098594","0.08046629"
