"时间","5.1-N2矸石量","5.1-N6高品矿量","5.2-N2尾矿量","5.1-5.2高品矿量","5.1-N14高品矿量","5.2-N12废水处理","5.2-N3废水入水体","5.2-N6精品矿量"
"1703","0","0","0","0","0","0","0","0"
"1704","0","0","0","0","0","0","0","0"
"1705","0","0","0","0","0","0","0","0"
"1706","0","0","0","0","0","0","0","0"
"1707","0","0","0","0","0","0","0","0"
"1708","0","0","0","0","0","0","0","0"
"1709","0","0","0","0","0","0","0","0"
"1710","0","0","0","0","0","0","0","0"
"1711","0","0","0","0","0","0","0","0"
"1712","0","0","0","0","0","0","0","0"
"1713","0","0","0","0","0","0","0","0"
"1714","0","0","0","0","0","0","0","0"
"1715","0","0","0","0","0","0","0","0"
"1716","0","0","0","0","0","0","0","0"
"1717","0","0","0","0","0","0","0","0"
"1718","0","0","0","0","0","0","0","0"
"1719","0","0","0","0","0","0","0","0"
"1720","0","0","0","0","0","0","0","0"
"1721","0","0","0","0","0","0","0","0"
"1722","0","0","0","0","0","0","0","0"
"1723","0","0","0","0","0","0","0","0"
"1724","0","0","0","0","0","0","0","0"
"1725","0","0","0","0","0","0","0","0"
"1726","0","0","0","0","0","0","0","0"
"1727","0","0","0","0","0","0","0","0"
"1728","0","0","0","0","0","0","0","0"
"1729","0","0","0","0","0","0","0","0"
"1730","0","0","0","0","0","0","0","0"
"1731","0","0","0","0","0","0","0","0"
"1732","0","0","0","0","0","0","0","0"
"1733","0","0","0","0","0","0","0","0"
"1734","0","0","0","0","0","0","0","0"
"1735","0","0","0","0","0","0","0","0"
"1736","0","0","0","0","0","0","0","0"
"1737","0","0","0","0","0","0","0","0"
"1738","0","0","0","0","0","0","0","0"
"1739","0","0","0","0","0","0","0","0"
"1740","0","0","0","0","0","0","0","0"
"1741","0","0","0","0","0","0","0","0"
"1742","0","0","0","0","0","0","0","0"
"1743","0","0","0","0","0","0","0","0"
"1744","0","0","0","0","0","0","0","0"
"1745","0","0","0","0","0","0","0","0"
"1746","0","0","0","0","0","0","0","0"
"1747","0","0","0","0","0","0","0","0"
"1748","0","0","0","0","0","0","0","0"
"1749","0","0","0","0","0","0","0","0"
"1750","0","0","0","0","0","0","0","0"
"1751","0","0","0","0","0","0","0","0"
"1752","0","0","0","0","0","0","0","0"
"1753","0","0","0","0","0","0","0","0"
"1754","0","0","0","0","0","0","0","0"
"1755","0","0","0","0","0","0","0","0"
"1756","0","0","0","0","0","0","0","0"
"1757","0","0","0","0","0","0","0","0"
"1758","0","0","0","0","0","0","0","0"
"1759","0","0","0","0","0","0","0","0"
"1760","0","0","0","0","0","0","0","0"
"1761","0","0","0","0","0","0","0","0"
"1762","0","0","0","0","0","0","0","0"
"1763","0","0","0","0","0","0","0","0"
"1764","0","0","0","0","0","0","0","0"
"1765","0","0","0","0","0","0","0","0"
"1766","0","0","0","0","0","0","0","0"
"1767","0","0","0","0","0","0","0","0"
"1768","0","0","0","0","0","0","0","0"
"1769","0","0","0","0","0","0","0","0"
"1770","0","0","0","0","0","0","0","0"
"1771","0","0","0","0","0","0","0","0"
"1772","0","0","0","0","0","0","0","0"
"1773","0","0","0","0","0","0","0","0"
"1774","0","0","0","0","0","0","0","0"
"1775","0","0","0","0","0","0","0","0"
"1776","0","0","0","0","0","0","0","0"
"1777","0","0","0","0","0","0","0","0"
"1778","0","0","0","0","0","0","0","0"
"1779","0","0","0","0","0","0","0","0"
"1780","0","0","0","0","0","0","0","0"
"1781","0","0","0","0","0","0","0","0"
"1782","0","0","0","0","0","0","0","0"
"1783","0","0","0","0","0","0","0","0"
"1784","0","0","0","0","0","0","0","0"
"1785","0","0","0","0","0","0","0","0"
"1786","0","0","0","0","0","0","0","0"
"1787","0","0","0","0","0","0","0","0"
"1788","0","0","0","0","0","0","0","0"
"1789","0","0","0","0","0","0","0","0"
"1790","0","0","0","0","0","0","0","0"
"1791","0","0","0","0","0","0","0","0"
"1792","0","0","0","0","0","0","0","0"
"1793","0","0","0","0","0","0","0","0"
"1794","0","0","0","0","0","0","0","0"
"1795","0","0","0","0","0","0","0","0"
"1796","0","0","0","0","0","0","0","0"
"1797","0","0","0","0","0","0","0","0"
"1798","0","0","0","0","0","0","0","0"
"1799","0","0","0","0","0","0","0","0"
"1800","0","0","0","0","0","0","0","0"
"1801","0","0","0","0","0","0","0","0"
"1802","0","0","0","0","0","0","0","0"
"1803","0","0","0","0","0","0","0","0"
"1804","0","0","0","0","0","0","0","0"
"1805","0","0","0","0","0","0","0","0"
"1806","0","0","0","0","0","0","0","0"
"1807","0","0","0","0","0","0","0","0"
"1808","0","0","0","0","0","0","0","0"
"1809","0","0","0","0","0","0","0","0"
"1810","0","0","0","0","0","0","0","0"
"1811","0","0","0","0","0","0","0","0"
"1812","0","0","0","0","0","0","0","0"
"1813","0","0","0","0","0","0","0","0"
"1814","0","0","0","0","0","0","0","0"
"1815","0","0","0","0","0","0","0","0"
"1816","0","0","0","0","0","0","0","0"
"1817","0","0","0","0","0","0","0","0"
"1818","0","0","0","0","0","0","0","0"
"1819","0","0","0","0","0","0","0","0"
"1820","0","0","0","0","0","0","0","0"
"1821","0","0","0","0","0","0","0","0"
"1822","0","0","0","0","0","0","0","0"
"1823","0","0","0","0","0","0","0","0"
"1824","0","0","0","0","0","0","0","0"
"1825","0","0","0","0","0","0","0","0"
"1826","0","0","0","0","0","0","0","0"
"1827","0","0","0","0","0","0","0","0"
"1828","0","0","0","0","0","0","0","0"
"1829","0","0","0","0","0","0","0","0"
"1830","0","0","0","0","0","0","0","0"
"1831","0","0","0","0","0","0","0","0"
"1832","0","0","0","0","0","0","0","0"
"1833","0","0","0","0","0","0","0","0"
"1834","0","0","0","0","0","0","0","0"
"1835","0","0","0","0","0","0","0","0"
"1836","0","0","0","0","0","0","0","0"
"1837","0","0","0","0","0","0","0","0"
"1838","0","0","0","0","0","0","0","0"
"1839","0","0","0","0","0","0","0","0"
"1840","0","0","0","0","0","0","0","0"
"1841","0","0","0","0","0","0","0","0"
"1842","0","0","0","0","0","0","0","0"
"1843","0","0","0","0","0","0","0","0"
"1844","0","0","0","0","0","0","0","0"
"1845","0","0","0","0","0","0","0","0"
"1846","0","0","0","0","0","0","0","0"
"1847","0","0","0","0","0","0","0","0"
"1848","0","0","0","0","0","0","0","0"
"1849","0","0","0","0","0","0","0","0"
"1850","0","0","0","0","0","0","0","0"
"1851","0","0","0","0","0","0","0","0"
"1852","0","0","0","0","0","0","0","0"
"1853","0","0","0","0","0","0","0","0"
"1854","0","0","0","0","0","0","0","0"
"1855","0","0","0","0","0","0","0","0"
"1856","0","0","0","0","0","0","0","0"
"1857","0","0","0","0","0","0","0","0"
"1858","0","0","0","0","0","0","0","0"
"1859","0","0","0","0","0","0","0","0"
"1860","0","0","0","0","0","0","0","0"
"1861","0","0","0","0","0","0","0","0"
"1862","0","0","0","0","0","0","0","0"
"1863","0","0","0","0","0","0","0","0"
"1864","0","0","0","0","0","0","0","0"
"1865","0","0","0","0","0","0","0","0"
"1866","0","0","0","0","0","0","0","0"
"1867","0","0","0","0","0","0","0","0"
"1868","0","0","0","0","0","0","0","0"
"1869","0","0","0","0","0","0","0","0"
"1870","0","0","0","0","0","0","0","0"
"1871","0","0","0","0","0","0","0","0"
"1872","0","0","0","0","0","0","0","0"
"1873","0","0","0","0","0","0","0","0"
"1874","0","0","0","0","0","0","0","0"
"1875","0","0","0","0","0","0","0","0"
"1876","0","0","0","0","0","0","0","0"
"1877","0","0","0","0","0","0","0","0"
"1878","0","0","0","0","0","0","0","0"
"1879","0","0","0","0","0","0","0","0"
"1880","0","0","0","0","0","0","0","0"
"1881","0","0","0","0","0","0","0","0"
"1882","0","0","0","0","0","0","0","0"
"1883","0","0","0","0","0","0","0","0"
"1884","0","0","0","0","0","0","0","0"
"1885","0","0","0","0","0","0","0","0"
"1886","0","0","0","0","0","0","0","0"
"1887","0","0","0","0","0","0","0","0"
"1888","0","0","0","0","0","0","0","0"
"1889","0","0","0","0","0","0","0","0"
"1890","0","0","0","0","0","0","0","0"
"1891","0","0","0","0","0","0","0","0"
"1892","0","0","0","0","0","0","0","0"
"1893","0","0","0","0","0","0","0","0"
"1894","0","0","0","0","0","0","0","0"
"1895","0","0","0","0","0","0","0","0"
"1896","0","0","0","0","0","0","0","0"
"1897","0","0","0","0","0","0","0","0"
"1898","0","0","0","0","0","0","0","0"
"1899","0","0","0","0","0","0","0","0"
"1900","0","0","0","0","0","0","0","0"
"1901","0","0","0","0","0","0","0","0"
"1902","0","0","0","0","0","0","0","0"
"1903","0","0","0","0","0","0","0","0"
"1904","0","0","0","0","0","0","0","0"
"1905","0","0","0","0","0","0","0","0"
"1906","0","0","0","0","0","0","0","0"
"1907","0","0","0","0","0","0","0","0"
"1908","0","0","0","0","0","0","0","0"
"1909","0","0","0","0","0","0","0","0"
"1910","0","0","0","0","0","0","0","0"
"1911","0","0","0","0","0","0","0","0"
"1912","0","0","0","0","0","0","0","0"
"1913","0","0","0","0","0","0","0","0"
"1914","0","0","0","0","0","0","0","0"
"1915","0","0","0","0","0","0","0","0"
"1916","0","0","0","0","0","0","0","0"
"1917","0","0","0","0","0","0","0","0"
"1918","0","0","0","0","0","0","0","0"
"1919","0","0","0","0","0","0","0","0"
"1920","0","0","0","0","0","0","0","0"
"1921","0","0","0","0","0","0","0","0"
"1922","0","0","0","0","0","0","0","0"
"1923","0","0","0","0","0","0","0","0"
"1924","0","0","0","0","0","0","0","0"
"1925","0","0","0","0","0","0","0","0"
"1926","0","0","0","0","0","0","0","0"
"1927","0","0","0","0","0","0","0","0"
"1928","0","0","0","0","0","0","0","0"
"1929","0","0","0","0","0","0","0","0"
"1930","0","0","0","0","0","0","0","0"
"1931","0","0","0","0","0","0","0","0"
"1932","0","0","0","0","0","0","0","0"
"1933","0","0","0","0","0","0","0","0"
"1934","0","0","0","0","0","0","0","0"
"1935","0","0","0","0","0","0","0","0"
"1936","0","0","0","0","0","0","0","0"
"1937","0","0","0","0","0","0","0","0"
"1938","0","0","0","0","0","0","0","0"
"1939","0","0","0","0","0","0","0","0"
"1940","0","0","0","0","0","0","0","0"
"1941","0","0","0","0","0","0","0","0"
"1942","0","0","0","0","0","0","0","0"
"1943","0","0","0","0","0","0","0","0"
"1944","0","0","0","0","0","0","0","0"
"1945","0","0","0","0","0","0","0","0"
"1946","0","0","0","0","0","0","0","0"
"1947","0.000023999999999999994","0.021830985915492956","0","0","0","0","0","0"
"1948","0.00004799999999999999","0.04366197183098591","0","0","0","0","0","0"
"1949","0.00007199999999999999","0.06549295774647887","0","0","0","0","0","0"
"1950","0.00014399999999999998","0.13098591549295774","0","0","0","0","0","0"
"1951","0.00028799999999999995","0.2619718309859155","0","0","0","0","0","0"
"1952","0.00043199999999999993","0.3929577464788732","0","0","0","0","0","0"
"1953","0.0005759999999999999","0.523943661971831","0","0","0","0","0","0"
"1954","0.0005759999999999999","0.523943661971831","0","0","0","0","0","0"
"1955","0.0011519999999999998","1.047887323943662","0","0","0","0","0","0"
"1956","0.0030239999999999993","2.7507042253521123","0","0","0","0","0","0"
"1957","0.004463999999999999","4.06056338028169","0","0","0","0","0","0"
"1958","0.029951999999999996","27.24507042253521","0","0","0","0","0","0"
"1959","0.022463999999999998","-81.73521126760564","0.002535895","10216.901408450703","0","0","18603000000000","7662.676056338028"
"1960","0.020447999999999997","-74.39999999999999","0.002308315","9299.999999999998","0","0","16933499999999.996","6974.999999999998"
"1961","0.0027359999999999997","-9.954929577464789","0.000308859","1244.3661971830986","0","0","2265750000000","933.2746478873239"
"1962","0.0015839999999999997","-5.76338028169014","0.000178813","720.4225352112675","0","0","1311750000000","540.3169014084506"
"1963","0.0033119999999999994","-12.050704225352112","0.000373882","1506.338028169014","0","0","2742750000000","1129.7535211267605"
"1964","0.010655999999999999","-38.77183098591549","0.001202925","4846.478873239437","0","0","8824500000000.002","3634.859154929578"
"1965","0.022751999999999998","-82.78309859154929","0.002568406","10347.887323943662","0","0","18841500000000","7760.915492957746"
"1966","0.05068799999999999","-184.4281690140845","0.005722019","23053.52112676056","0","0","41976000000000","17290.14084507042"
"1967","0.036863999999999994","-134.12957746478872","0.004161469","16766.197183098593","0","0","30528000000000.008","12574.647887323945"
"1968","0.014543999999999998","-52.918309859154924","0.001641829","6614.788732394365","0","0","12044250000000","4961.091549295774"
"1969","0.028511999999999996","-103.74084507042252","0.003218636","12967.605633802816","0","0","23611500000000.004","9725.704225352112"
"1970","0.05673599999999999","-206.4338028169014","0.00640476","25804.225352112673","0","93969000000000","46044810000000","19353.169014084506"
"1971","0.08107199999999999","-294.9802816901408","0.00915198","36872.535211267605","0","268551000000000.06","64452240000000.016","27654.401408450703"
"1972","0.07934399999999998","-288.69295774647884","0.008956911","36086.619718309856","0","459947250000000","61107277499999.99","27064.96478873239"
"1973","0.07631999999999999","-277.6901408450704","0.008615541","34711.2676056338","0","568822500000000.1","57514275000000.01","26033.450704225354"
"1974","0.09993599999999998","-363.6169014084507","0.011281482","45452.11267605634","0","993114000000000.2","72828360000000.02","34089.08450704226"
"1975","0.14659199999999997","-533.3746478873239","0.01654834","66671.8309859155","0","1699551000000000.5","104400990000000.03","50003.87323943662"
"1976","0.12470399999999998","-453.7352112676056","0.014077468","56716.9014084507","0","1652328000000000","86747220000000","42537.67605633802"
"1977","0.16084799999999996","-585.2450704225352","0.018157658","73155.6338028169","0","2530842749999999.5","107893822500000","54866.72535211267"
"1978","0.16387199999999996","-596.2478873239436","0.018499029","74530.98591549294","0","2849836499999999.5","107208134999999.98","55898.23943661971"
"1979","0.12268799999999998","-446.4","0.013849888","55800","0","2438424000000000.5","77216760000000.02","41850"
"1980","0.15566399999999997","-566.3830985915492","0.017572452","70797.88732394365","0","3351640499999999.5","95392844999999.98","53098.415492957734"
"1981","0.15652799999999997","-1993.3436619718307","0.042304256","213572.5352112676","0","12029176800000002","294507432000000","170858.02816901408"
"1982","0.16833599999999999","-2143.7154929577464","0.045495562","229683.8028169014","0","15167073600000004","294419664000000.06","183747.04225352115"
"1983","0.16703999999999997","-2127.2112676056336","0.045145296","227915.4929577465","0","16378272000000004","278873280000000.1","182332.3943661972"
"1984","0.19367999999999996","-2466.4647887323945","0.052345193","264264.08450704225","0","18990324000000004","323348760000000.06","211411.26760563382"
"1985","0.09806399999999998","-1248.8197183098591","0.026503402","133802.11267605633","0","9875044800000002","161119152000000.03","107041.69014084508"
"1986","0.13852799999999998","-1764.1183098591548","0.037439461","189012.676056338","0","15418166400000002","212917536000000.06","151210.14084507042"
"1987","0.21844799999999998","-2782.0203278264617","0.059339324","298073.6065528352","-0.010103899073239435","26630165237203964","312614983219350.9","238458.88524226818"
"1988","0.26265599999999995","-3344.9231742965153","0.071128917","358384.6258174838","-0.004774019167605633","32018406172776690","375868246376074.2","286707.70065398706"
"1989","0.285552","-3636.461367042059","0.077239576","389620.8607545063","-0.0021700804690140845","36322517859572620","393493943478703.5","311696.6886036051"
"1990","0.31031999999999993","-3951.586933401228","0.083321284","423384.31429298874","0.01843835866478873","41114714185406900","411147141854068.94","338707.451434391"
"1991","0.30815999999999993","-3924.009189980383","0.082587478","420429.55606932676","0.02348844204507042","40827778567454890","408277785674548.9","336343.64485546143"
"1992","0.33407999999999993","-4253.823087892098","0.089018537","455766.75941701053","0.042817665654929574","46914924764577630","416038012063235.6","364613.40753360844"
"1993","0.304704","-3879.3563363335434","0.080291961","415645.32175002253","0.0693160164169014","44399501427609510","363268648044077.75","332516.25740001805"
"1994","0.35740799999999995","-4550.388639395358","0.094239995","487541.63993521687","0.07928229670985916","53026412748525620","416636100166986.94","390033.3119481735"
"1995","0.4492799999999999","-5719.724672059014","0.117732669","612827.6434348944","0.12429404809859154","65462644244388616","535603452908634.06","490262.11474791553"
"1996","0.44697599999999993","-5689.614847283687","0.115478163","609601.5907803951","0.17922116987746478","69853892325311470","485425353447079.8","487681.2726243161"
"1997","0.5005439999999999","-6371.254655860884","0.128820838","682634.4274136662","0.21742397774366196","82200107211444030","503807108715302.1","546107.5419309329"
"1998","0.3892319999999999","-4952.832393545814","0.096842627","530660.6135941944","0.28118718133521126","62869382826452744","401951791841255.25","424528.49087535555"
"1999","0.36143999999999993","-4598.255139820429","0.087945028","492670.1935521887","0.3278521858647887","64109678383778776","315764087561895.44","394136.154841751"
"2000","0.27892799999999995","-3545.751481368541","0.06196381","379901.9444323437","0.45175535496338026","56813919123208270","169703914264128.6","303921.555545875"
"2001","0.30251375999999996","-6588.730145796844","0.051562124","686326.0568538379","0.6434786669154928","127466025047410300","224940044201312.3","617693.4511684541"
"2002","0.33134399999999997","-7222.474900139323","0.062410212","752341.1354311794","0.4621373768239436","144658017842645340","197260933421789.1","677107.0218880615"
"2003","0.35236799999999996","-7681.3087425047","0.06694377","800136.3273442396","0.46800427357183094","155596213731412600","192309927083768.38","720122.6946098156"
"2004","0.5366203199999999","-11705.133350835278","0.10937433","1219284.7240453416","0.4090540438352112","242432898914913920","239768801124640.06","1097356.2516408074"
"2005","0.4384065599999999","-9564.203152770186","0.090758576","996271.1617468944","0.27684516039718304","198090651908017340","195913831557379.72","896644.045572205"
"2006","0.5610167999999999","-12244.815211940719","0.12201816","1275501.5845771583","0.1139436339253521","253610613355070430","250823683537981.66","1147951.4261194426"
"2007","0.65400768","-14274.693761041519","0.14249713","1486947.2667751582","0.12244540261267606","298901726691382850","259914544949028.44","1338252.5400976425"
"2008","0.8834572799999998","-19280.45729428428","0.190130038","2008380.9681546125","0.2619225973098591","403718781862018600","351059810314798.6","1807542.8713391512"
"2009","0.8670081599999999","-18926.44328489963","0.191653412","1971504.5088437113","0.04998519490985915","404921332960963700","258460425294232.4","1774354.0579593403"
"2010","0.9802079999999999","-21396.13262204106","0.215231443","2228763.8147959434","0.11560084218591549","462628818773609700","243488851986110.62","2005887.433316349"
"2011","1.1696111999999999","-25531.692045812313","0.258080402","2659551.254772116","0.08639949960422534","557859235171307000","232441347988044.8","2393596.1292949044"
"2012","1.3722623999999999","-29956.30335456368","0.303708392","3120448.2661003834","0.06407384153661971","654535564973553800","272723152072314.3","2808403.4394903453"
